Dear	_
,	_
A	_
few	Quantity
months	Measure_duration
ago	Time_vector
you	_
received	Receiving
a	_
letter	Text
from	_
me	_
telling	Telling
the	_
success	Success_or_failure
stories	_
of	_
people	People
who	_
got	Getting
jobs	Being_employed
with	_
Goodwill	_
's	_
help	Assistance
.	_
Here	_
's	_
another	Increment
story	_
of	_
success	Success_or_failure
from	_
what	_
might	Likelihood
seem	Appearance
like	Similarity
an	_
unlikely	Likelihood
source	Attributed_information
:	_
Goodwill	_
's	_
controller	_
,	_
Juli	_
.	_
She	_
tells	Telling
me	_
that	_
the	_
3,666	_
people	People
we	_
helped	Assistance
find	Locating
jobs	Being_employed
in	Temporal_collocation
1998	_
earned	Earnings_and_losses
approximately	Relational_quantity
$	_
49	_
million	_
dollars	_
.	_
In	_
addition	_
to	_
that	_
,	_
by	Means
helping	Assistance
them	_
find	Locating
jobs	Being_employed
,	_
Goodwill	_
reduced	Cause_change_of_position_on_a_scale
the	_
state	Political_locales
's	_
Public	_
Support	Supporting
tab	_
by	_
an	_
estimated	Estimating
$	_
4	_
million	_
.	_
Your	_
gift	Giving
to	Goal
Goodwill	_
will	_
help	Assistance
us	_
do	_
even	_
more	Increment
this	_
year	Calendric_unit
because	Causation
your	_
gift	Giving
will	_
be	_
used	Using
to	_
directly	_
support	Supporting
our	_
work	Working_on
.	_
What	_
kind	Type
of	_
work	Working_on
does	_
Goodwill	_
do	Intentionally_act
?	_
Goodwill	_
finds	Locating
jobs	Being_employed
for	_
people	People
with	_
mental	_
and	_
physical	_
disabilities	_
.	_
After	Relative_time
Maureen	_
's	_
job	Being_employed
coach	_
taught	Education_teaching
her	_
how	_
to	_
do	_
her	_
job	Being_employed
in	_
a	_
restaurant	Locale_by_use
,	_
we	_
helped	Assistance
Maureen	_
step	_
out	_
of	_
the	_
shadow	_
sometimes	Frequency
cast	_
over	Locative_relation
people	People
with	_
physical	_
and	_
mental	_
disabilities	_
and	_
find	Locating
a	_
fulfilling	Stimulus_focus
job	Being_employed
smack	_
dab	_
in	Locative_relation
the	_
middle	Part_inner_outer
of	_
society	_
.	_
Remember	Memory
what	_
she	_
said	Statement
in	Medium
my	_
last	Relative_time
letter	Text
?	_
``	_
If	_
I	_
was	_
n't	_
working	Being_employed
here	Locative_relation
...	_
I	_
would	_
be	_
sad	Emotion_directed
...	_
''	_
Goodwill	_
helps	Assistance
people	People
get	Becoming
off	_
of	_
public	_
assistance	Assistance
.	_
Sherry	_
learned	Education_teaching
through	_
our	_
Future	_
Works	_
class	_
that	_
she	_
could	Capability
rise	_
out	_
of	_
the	_
mire	_
of	_
the	_
welfare	_
system	System
and	_
support	Supporting
her	_
family	Kinship
.	_
At	Locative_relation
Goodwill	_
she	_
gained	Getting
in	_
self	_
-	_
confidence	_
,	_
in	_
her	_
vision	_
of	_
her	_
future	_
and	_
in	_
the	_
job	Being_employed
skills	Expertise
she	_
needed	Needing
to	_
find	Locating
and	_
keep	_
a	_
good	Desirability
job	Being_employed
.	_
``	_
Coming	Arriving
to	Goal
Goodwill	_
was	_
the	_
first	Ordinal_numbers
step	Intentionally_act
toward	_
my	_
becoming	Becoming
totally	Degree
independent	_
.	_
I	_
am	_
now	Temporal_collocation
...	_
totally	Degree
off	_
of	_
welfare	_
.	_
''	_
Goodwill	_
prepares	_
people	People
for	_
life	_
-	_
long	_
employment	Being_employed
.	_
Cornell	_
found	Locating
a	_
number	Quantity
of	_
employment	Being_employed
options	Possibilities
that	_
he	_
never	Frequency
dreamed	_
existed	Existence
after	Relative_time
a	_
work	Being_employed
-	_
site	Locale_by_use
injury	_
forced	Causation
him	_
out	_
of	_
his	_
job	Being_employed
at	Locative_relation
a	_
foundry	_
.	_
He	_
trained	Education_teaching
in	_
desktop	_
publishing	_
and	_
combined	Cause_to_amalgamate
his	_
enthusiastic	_
work	_
ethic	_
with	_
new	_
-	_
found	_
skills	Expertise
in	_
a	_
burgeoning	Progress
industry	Fields
.	_
``	_
I	_
've	_
got	Possession
more	Increment
than	_
a	_
job	Being_employed
;	_
I	_
've	_
got	Possession
a	_
career	_
.	_
''	_
Goodwill	_
provides	Supply
jobs	Being_employed
at	Locative_relation
Goodwill	_
.	_
After	Time_vector
a	_
lifetime	_
of	_
trials	_
,	_
Donna	_
not	_
only	_
earned	Earnings_and_losses
her	_
GED	_
at	Locative_relation
Goodwill	_
,	_
she	_
earned	Earnings_and_losses
a	_
job	Being_employed
here	Locative_relation
.	_
``	_
I	_
rode	Operate_vehicle
a	_
bike	Vehicle
to	Goal
Goodwill	_
in	_
the	_
rain	Precipitation
and	_
snow	Precipitation
.	_
I	_
wanted	Desiring
to	_
be	_
there	Locative_relation
...	_
I	_
had	_
my	_
second	Ordinal_numbers
chance	Likelihood
to	_
change	Cause_change
my	_
life	_
.	_
''	_
Your	_
gift	Giving
to	_
Goodwill	_
will	_
help	Assistance
the	_
many	Quantity
people	People
who	_
want	Desiring
to	_
tell	Telling
their	_
own	_
stories	_
of	_
success	Success_or_failure
.	_
Your	_
support	_
will	_
help	Assistance
them	_
go	_
to	Goal
work	Being_employed
.	_
Please	_
use	Using
the	_
enclosed	Placing
envelope	Containers
to	_
give	Giving
a	_
generous	Stinginess
gift	Giving
to	_
Goodwill	_
today	Temporal_collocation
!	_
Sincerely	_
,	_
William	_
A	_
Carter	_
,	_
Chairman	Leadership
Goodwill	_
Industries	_
Foundation	_
P.S.	_
Your	_
gift	Giving
is	_
a	_
wise	Mental_property
investment	_
in	_
the	_
community	Aggregate
.	_
For	_
every	_
dollar	_
donated	Giving
to	_
Goodwill	_
