few	Quantity
months	Measure_duration
ago	Time_vector
received	Receiving
letter	Text
telling	Telling
success	Success_or_failure
people	People
got	Getting
jobs	Being_employed
help	Assistance
another	Increment
success	Success_or_failure
might	Likelihood
seem	Appearance
like	Similarity
unlikely	Likelihood
source	Attributed_information
tells	Telling
people	People
helped	Assistance
find	Locating
jobs	Being_employed
in	Temporal_collocation
earned	Earnings_and_losses
approximately	Relational_quantity
by	Means
helping	Assistance
find	Locating
jobs	Being_employed
reduced	Cause_change_of_position_on_a_scale
state	Political_locales
Support	Supporting
estimated	Estimating
gift	Giving
to	Goal
help	Assistance
more	Increment
year	Calendric_unit
because	Causation
gift	Giving
used	Using
support	Supporting
work	Working_on
kind	Type
work	Working_on
do	Intentionally_act
finds	Locating
jobs	Being_employed
people	People
After	Relative_time
job	Being_employed
taught	Education_teaching
job	Being_employed
restaurant	Locale_by_use
helped	Assistance
sometimes	Frequency
over	Locative_relation
people	People
find	Locating
fulfilling	Stimulus_focus
job	Being_employed
in	Locative_relation
middle	Part_inner_outer
Remember	Memory
said	Statement
in	Medium
last	Relative_time
letter	Text
working	Being_employed
here	Locative_relation
sad	Emotion_directed
helps	Assistance
people	People
get	Becoming
assistance	Assistance
learned	Education_teaching
could	Capability
system	System
support	Supporting
family	Kinship
At	Locative_relation
gained	Getting
job	Being_employed
skills	Expertise
needed	Needing
find	Locating
good	Desirability
job	Being_employed
Coming	Arriving
to	Goal
first	Ordinal_numbers
step	Intentionally_act
becoming	Becoming
totally	Degree
now	Temporal_collocation
totally	Degree
people	People
employment	Being_employed
found	Locating
number	Quantity
employment	Being_employed
options	Possibilities
never	Frequency
existed	Existence
after	Relative_time
work	Being_employed
site	Locale_by_use
forced	Causation
job	Being_employed
at	Locative_relation
trained	Education_teaching
combined	Cause_to_amalgamate
skills	Expertise
burgeoning	Progress
industry	Fields
got	Possession
more	Increment
job	Being_employed
got	Possession
provides	Supply
jobs	Being_employed
at	Locative_relation
After	Time_vector
earned	Earnings_and_losses
at	Locative_relation
earned	Earnings_and_losses
job	Being_employed
here	Locative_relation
rode	Operate_vehicle
bike	Vehicle
to	Goal
rain	Precipitation
snow	Precipitation
wanted	Desiring
there	Locative_relation
second	Ordinal_numbers
chance	Likelihood
change	Cause_change
gift	Giving
help	Assistance
many	Quantity
people	People
want	Desiring
tell	Telling
success	Success_or_failure
help	Assistance
to	Goal
work	Being_employed
use	Using
enclosed	Placing
envelope	Containers
give	Giving
generous	Stinginess
gift	Giving
today	Temporal_collocation
Chairman	Leadership
gift	Giving
wise	Mental_property
community	Aggregate
donated	Giving
in	Temporal_collocation
helped	Assistance
graduates	Education_teaching
earn	Earnings_and_losses
money	Money
then	Temporal_collocation
variety	Diversity
ways	Means
thriving	Thriving
economy	Economy
of	Partitive
strongest	Exertive_force
critics	Judgment_communication
system	System
people	People
become	Becoming
complaint	Complaining
system	System
discourages	Attempt_suasion
working	Being_employed
because	Causation
provides	Supply
many	Quantity
level	Rank
jobs	Being_employed
where	Locative_relation
help	Assistance
people	People
train	Education_teaching
find	Locating
jobs	Being_employed
make	Cause_change
possible	Likelihood
get	Becoming
Last	Relative_time
year	Calendric_unit
people	People
jobs	Being_employed
more	Increment
number	Quantity
in	Temporal_collocation
While	Relative_time
debate	Discussion
reform	Reforming_a_system
gathering	Come_together
like	Similarity
storm	Weather
at	Locative_relation
sea	Natural_features
people	People
need	Needing
jobs	Being_employed
need	Needing
support	Supporting
continue	Activity_ongoing
getting	Bringing
people	People
assistance	Assistance
reform	Reforming_a_system
uncertain	Certainty
unknown	Awareness
starting	Process_start
works	Usefulness
now	Temporal_collocation
give	Giving
largest	Dimension
gift	Giving
can	Possibility
today	Temporal_collocation
Chairman	Leadership
March	Calendric_unit
When	Temporal_collocation
released	Releasing
prison	Prison
knew	Awareness
take	Have_as_requirement
hard	Difficulty
work	Working_on
knew	Awareness
made	Intentionally_create
bad	Desirability
commitment	Commitment
count	Reliance_on_expectation
thrown	Cause_motion
in	Locative_relation
path	Path_traveled
hit	Impact
when	Temporal_collocation
unable	Capability
wife	Personal_relationship
ended	Becoming
street	Roadways
went	Motion
until	Time_vector
could	Possibility
find	Locating
job	Being_employed
place	Locale
live	Residence
where	Locative_relation
staff	Employing
job	Being_employed
assistance	Assistance
job	Being_employed
troubles	Predicament
end	Process_end
construction	Building
job	Being_employed
obtained	Getting
ended	Process_end
returned	Arriving
help	Assistance
Unemployed	Being_employed
prison	Prison
now	Temporal_collocation
going	Motion
prison	Prison
failure	Success_or_failure
took	Have_as_requirement
some	Relational_quantity
work	Working_on
help	Assistance
able	Capability
plan	Project
find	Locating
housing	Buildings
conduct	Intentionally_act
job	Being_employed
unemployment	Unemployment_rate
lowest	Position_on_a_scale
years	Measure_duration
in	Locative_relation
many	Quantity
people	People
still	Continued_state_of_affairs
have	Possession
hard	Difficulty
finding	Locating
employment	Being_employed
Of	Partitive
more	Increment
people	People
served	Assistance
in	Temporal_collocation
over	Relational_quantity
of	Partitive
have	Possession
multiple	Quantity
finding	Locating
keeping	Activity_ongoing
job	Being_employed
Some	Relational_quantity
Some	Relational_quantity
other	Increment
More	Increment
100	Cardinal_numbers
people	People
numerous	Quantity
like	Similarity
promising	Omen
new	Age
job	Being_employed
at	Locative_relation
manufacturer	Manufacturing
troubles	Predicament
safe	Being_at_risk
place	Locale
live	Residence
can	Capability
contributing	Giving
community	Aggregate
needs	Needing
continue	Activity_ongoing
help	Assistance
provide	Supply
job	Being_employed
training	Education_teaching
services	Public_services
help	Assistance
serve	Assistance
find	Locating
employment	Being_employed
brief	Duration_attribute
History	History
Prehistoric	Temporal_collocation
in	Locative_relation
modern	Temporal_collocation
could	Capability
look	Perception_active
see	Perception_experience
of	Partitive
pushed	Subjective_influence
build	Building
vessels	Vehicle
strong	Exertive_force
enough	Sufficiency
ford	Intentional_traversing
seas	Natural_features
reach	Arriving
islands	Natural_features
marking	Sign
start	Temporal_subregion
long	Duration_attribute
out	Departing
now	Temporal_collocation
explore	Scrutiny
eventually	Time_vector
reached	Arriving
islands	Natural_features
founded	Intentionally_create
colonies	Colonization
on	Locative_relation
islands	Natural_features
in	Locative_relation
northernmost	Part_orientational
part	Part_whole
Sea	Natural_features
important	Importance
early	Temporal_collocation
material	Substance
discovered	Becoming_aware
on	Locative_relation
